source_index,feature_id,height_m,center_x_m,center_y_m,min_x_m,min_y_m,max_x_m,max_y_m,highlighted
0,101850,13.33,971.5193427,-8572.85370535,965.03719718,-8577.1496263,978.00148821,-8568.5577844,false
1,150949,9.76,1242.25924173,-8456.23921876,1236.10011808,-8460.1222241,1248.41836537,-8452.35621342,false
2,281376,17.24,947.61086304,-8338.91288497,937.84821081,-8349.94942014,957.37351526,-8327.87634979,false
3,177648,9.93,923.82664647,-9345.01945839,918.12473646,-9350.49569368,929.52855649,-9339.5432231,false
4,104551,10.39,392.85021911,-9291.37611172,385.59098387,-9295.72118398,400.10945435,-9287.03103945,false
5,386532,10.78,689.378278,-9103.77970491,684.50591758,-9109.53955969,694.25063841,-9098.01985013,false
6,102603,11.75,1045.68411379,-8773.50348045,1039.52576774,-8786.60577677,1051.84245983,-8760.40118412,false
7,307790,13.7,1178.36424225,-8781.38965098,1172.89043681,-8788.35918853,1183.83804769,-8774.42011342,false
8,101748,10.65,1321.99675116,-8535.09778314,1318.051497,-8540.50908179,1325.94200531,-8529.68648449,false
9,101689,10.38,1068.8083629,-8533.53692124,1064.6337758,-8541.63768544,1072.98295001,-8525.43615705,false
10,255407,11.16,918.53451516,-8491.10713549,912.99179365,-8501.04901498,924.07723667,-8481.16525599,false
11,100495,13.25,950.25249457,-8260.51367571,942.71847282,-8270.74351708,957.78651631,-8250.28383433,false
12,99216,13.4,367.71549383,-7943.827383,359.50943621,-7965.30874742,375.92155144,-7922.34601857,false
13,412885,11.32,1288.17351068,-9332.05787342,1283.61849211,-9340.2705488,1292.72852925,-9323.84519804,false
14,104614,13.54,1267.2036869,-9288.76902904,1260.73896828,-9298.64863947,1273.66840553,-9278.88941861,false
15,203062,11.19,1310.80221064,-8445.92152677,1307.86134666,-8454.81687823,1313.74307463,-8437.02617532,false
16,104505,10.84,1624.13156918,-9246.71237001,1620.02228073,-9256.41932397,1628.24085762,-9237.00541605,false
17,176512,13.43,836.7865056,-7971.56839358,823.31494708,-7980.98534389,850.25806413,-7962.15144327,false
18,385752,11.83,486.22052102,-8109.34112788,464.02853481,-8138.84837969,508.41250723,-8079.83387606,false
19,100180,10.82,963.24544115,-8169.69483502,959.12618018,-8176.0759992,967.36470212,-8163.31367084,false
20,99965,15.15,880.57544386,-8118.6128383,870.49134613,-8131.17193799,890.65954159,-8106.05373861,false
21,103245,10.62,1795.08415677,-8905.29150773,1765.50425753,-8923.41254466,1824.664056,-8887.1704708,false
22,103245,10.62,1795.08415677,-8905.29150773,1765.50425753,-8923.41254466,1824.664056,-8887.1704708,false
23,99966,13.42,928.40132645,-8121.95676431,916.02158648,-8138.8629979,940.78106643,-8105.05053071,false
24,99966,15.27,928.40132645,-8121.95676431,916.02158648,-8138.8629979,940.78106643,-8105.05053071,false
25,385726,12.14,419.70815038,-8111.22208678,388.39079853,-8141.24447407,451.02550223,-8081.19969949,false
26,229056,13.18,858.93911489,-8024.66111876,827.86939353,-8040.25450113,890.00883624,-8009.06773638,false
27,176609,9.26,834.41910917,-8113.01404519,808.37970082,-8135.68512724,860.45851753,-8090.34296314,false
28,99842,9.11,756.85774663,-8113.8281402,725.10665766,-8145.62758909,788.6088356,-8082.0286913,false
29,359824,11.54,848.77188895,-8212.84829915,844.8582911,-8217.80522753,852.6854868,-8207.89137077,false
30,333631,18.4,837.42274931,-8181.7691135,806.9796512,-8191.69587295,867.86584742,-8171.84235405,false
31,281476,9.34,860.66125879,-8486.45254821,855.63798308,-8490.91740642,865.6845345,-8481.98768999,false
32,255452,10.66,866.7849464,-8539.5324074,859.90467229,-8544.08159423,873.66522051,-8534.98322056,false
33,202966,13.09,852.88570047,-8339.72524145,836.48136648,-8350.10051625,869.29003446,-8329.34996664,false
34,176935,11.43,853.49142237,-8451.32651023,842.47073007,-8457.33865307,864.51211466,-8445.31436738,false
35,101238,12.14,860.96065001,-8436.72295209,857.71520421,-8442.93725875,864.20609581,-8430.50864543,false
36,360454,10.77,1780.47608709,-8860.83132182,1766.73339961,-8870.03254624,1794.21877458,-8851.63009741,false
37,203440,10.73,1780.70371119,-8880.35920546,1767.15840882,-8885.54278932,1794.24901356,-8875.1756216,false
38,412665,20.04,1624.09059894,-9000.39428964,1608.96550995,-9018.66228334,1639.21568794,-8982.12629594,false
39,386483,10.8,1488.33407191,-9009.69067675,1484.70922326,-9016.86674139,1491.95892056,-9002.51461212,false
40,360570,15.18,1646.79159766,-9007.40809326,1642.6398099,-9016.3261991,1650.94338541,-8998.48998742,false
41,334336,12.87,1554.15318257,-9006.58414003,1549.56786954,-9013.13975159,1558.7384956,-9000.02852847,false
42,334331,11.63,1525.49850767,-9007.08626988,1521.6041147,-9016.12648897,1529.39290064,-8998.0460508,false
43,281919,21.08,1306.30625524,-9016.36303404,1299.87549043,-9020.36094602,1312.73702005,-9012.36512206,false
44,281908,11.6,1498.48892958,-9006.5348484,1494.16280844,-9015.77789398,1502.81505072,-8997.29180283,false
45,203543,12.17,1470.5100644,-9010.73442547,1465.17521955,-9017.08953683,1475.84490926,-9004.3793141,false
46,177429,25.1,1320.9502214,-9015.90764711,1314.67603929,-9020.4731597,1327.22440351,-9011.34213451,false
47,103665,16.86,1576.66676973,-9009.87283347,1563.13699368,-9019.52916333,1590.19654577,-9000.21650362,false
48,229422,11.33,1118.35527033,-8449.04532292,1114.25618067,-8457.90669321,1122.45435999,-8440.18395263,false
49,150445,20.45,629.23434016,-7764.47555759,616.29710158,-7774.20106807,642.17157875,-7754.7500471,false
50,411754,13.28,705.66532042,-7889.07532038,689.29000414,-7907.05983348,722.0406367,-7871.09080728,false
